Order_ID,Vendor_ID,Product_Category,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Quantity,Price_Per_Unit,Region,Revenue,Month_Name,Lead_Time,Delivery_Delay,Non_Delivered,Late,On_Time,Early,Delivered_Qty,,,
ORD-0112,VND-009,Furniture,09/01/2025,17/01/2025,,Cancelled,2,16500,East,33000,January,,,1,0,0,0,0,,,
ORD-0113,VND-014,Office Supplies,09/01/2025,15/01/2025,16/01/2025,Delivered,78,40,International,3120,January,7,1,0,1,0,0,78,,,
ORD-0114,VND-008,Electronics,09/01/2025,16/01/2025,19/01/2025,Delivered,8,13500,South,108000,January,10,3,0,1,0,0,8,,,
ORD-0115,VND-005,Office Supplies,10/01/2025,19/01/2025,17/01/2025,Delivered,95,45,International,4275,January,7,-2,0,0,0,1,95,,,
ORD-0116,VND-013,Electronics,10/01/2025,15/01/2025,15/01/2025,Delivered,8,45000,South,360000,January,5,0,0,0,1,0,8,,,
ORD-0117,VND-002,Office Supplies,10/01/2025,18/01/2025,16/01/2025,Delivered,54,45,North,2430,January,6,-2,0,0,0,1,54,,,
ORD-0118,VND-015,Furniture,10/01/2025,18/01/2025,20/01/2025,Delivered,2,15000,International,30000,January,10,2,0,1,0,0,2,,,
ORD-0119,VND-005,Apparel,10/01/2025,17/01/2025,15/01/2025,Delivered,7,130,International,910,January,5,-2,0,0,0,1,7,,,
ORD-0120,VND-008,Apparel,10/01/2025,14/01/2025,17/01/2025,Delivered,25,180,International,4500,January,7,3,0,1,0,0,25,,,
ORD-0121,VND-010,Electronics,10/01/2025,16/01/2025,,In Transit,4,2400,West,9600,January,,,1,0,0,0,0,,,
ORD-0122,VND-009,Electronics,10/01/2025,15/01/2025,17/01/2025,Delivered,10,29000,North,290000,January,7,2,0,1,0,0,10,,,
ORD-0123,VND-012,Electronics,10/01/2025,16/01/2025,19/01/2025,Delivered,10,3000,East,30000,January,9,3,0,1,0,0,10,,,
ORD-0124,VND-012,Furniture,10/01/2025,16/01/2025,18/01/2025,Delivered,3,9500,North,28500,January,8,2,0,1,0,0,3,,,
ORD-0125,VND-012,Office Supplies,10/01/2025,17/01/2025,18/01/2025,Delivered,55,95,West,5225,January,8,1,0,1,0,0,55,,,
ORD-0126,VND-013,Furniture,10/01/2025,18/01/2025,21/01/2025,Delivered,2,21000,South,42000,January,11,3,0,1,0,0,2,,,
ORD-0127,VND-009,Apparel,10/01/2025,19/01/2025,17/01/2025,Delivered,6,320,North,1920,January,7,-2,0,0,0,1,6,,,
ORD-0128,VND-013,Electronics,10/01/2025,15/01/2025,,In Transit,3,1200,International,3600,January,,,1,0,0,0,0,,,
ORD-0129,VND-015,Office Supplies,10/01/2025,17/01/2025,16/01/2025,Delivered,56,500,East,28000,January,6,-1,0,0,0,1,56,,,
ORD-0130,VND-013,Apparel,11/01/2025,17/01/2025,,Cancelled,28,320,East,8960,January,,,1,0,0,0,0,,,
ORD-0131,VND-001,Apparel,11/01/2025,17/01/2025,,Cancelled,52,110,South,5720,January,,,1,0,0,0,0,,,
ORD-0132,VND-009,Apparel,11/01/2025,19/01/2025,21/01/2025,Delivered,14,45,North,630,January,10,2,0,1,0,0,14,,,
ORD-0133,VND-007,Furniture,11/01/2025,19/01/2025,22/01/2025,Delivered,1,15000,West,15000,January,11,3,0,1,0,0,1,,,
ORD-0134,VND-009,Electronics,11/01/2025,18/01/2025,,Cancelled,8,2400,South,19200,January,,,1,0,0,0,0,,,
ORD-0135,VND-008,Apparel,11/01/2025,16/01/2025,,Cancelled,33,320,North,10560,January,,,1,0,0,0,0,,,
ORD-0136,VND-001,Electronics,11/01/2025,17/01/2025,16/01/2025,Delivered,10,5000,Central,50000,January,5,-1,0,0,0,1,10,,,
ORD-0137,VND-012,Furniture,11/01/2025,18/01/2025,17/01/2025,Delivered,3,18000,East,54000,January,6,-1,0,0,0,1,3,,,
ORD-0138,VND-008,Apparel,11/01/2025,16/01/2025,19/01/2025,Delivered,11,45,West,495,January,8,3,0,1,0,0,11,,,
ORD-0139,VND-008,Furniture,11/01/2025,19/01/2025,,Cancelled,2,7000,International,14000,January,,,1,0,0,0,0,,,
ORD-0140,VND-015,Furniture,11/01/2025,20/01/2025,23/01/2025,Delivered,2,16500,West,33000,January,12,3,0,1,0,0,2,,,
ORD-0141,VND-011,Electronics,11/01/2025,16/01/2025,15/01/2025,Delivered,10,13500,International,135000,January,4,-1,0,0,0,1,10,,,
ORD-0142,VND-003,Apparel,11/01/2025,20/01/2025,,In Transit,48,60,West,2880,January,,,1,0,0,0,0,,,
ORD-0143,VND-001,Furniture,11/01/2025,16/01/2025,19/01/2025,Delivered,2,12000,East,24000,January,8,3,0,1,0,0,2,,,
ORD-0144,VND-008,Apparel,11/01/2025,15/01/2025,18/01/2025,Delivered,13,110,International,1430,January,7,3,0,1,0,0,13,,,
ORD-0145,VND-003,Electronics,11/01/2025,17/01/2025,17/01/2025,Delivered,8,3000,North,24000,January,6,0,0,0,1,0,8,,,
ORD-0146,VND-003,Furniture,12/01/2025,17/01/2025,,In Transit,2,12000,International,24000,January,,,1,0,0,0,0,,,
ORD-0147,VND-001,Electronics,12/01/2025,21/01/2025,24/01/2025,Delivered,7,8500,South,59500,January,12,3,0,1,0,0,7,,,
ORD-0148,VND-011,Apparel,12/01/2025,20/01/2025,22/01/2025,Delivered,7,45,North,315,January,10,2,0,1,0,0,7,,,
ORD-0149,VND-005,Apparel,12/01/2025,20/01/2025,23/01/2025,Delivered,54,320,South,17280,January,11,3,0,1,0,0,54,,,
ORD-0150,VND-010,Electronics,12/01/2025,21/01/2025,21/01/2025,Delivered,6,13500,West,81000,January,9,0,0,0,1,0,6,,,
ORD-0151,VND-007,Office Supplies,12/01/2025,19/01/2025,18/01/2025,Delivered,65,150,North,9750,January,6,-1,0,0,0,1,65,,,
ORD-0152,VND-010,Furniture,12/01/2025,18/01/2025,20/01/2025,Delivered,1,15000,West,15000,January,8,2,0,1,0,0,1,,,
ORD-0153,VND-009,Apparel,12/01/2025,18/01/2025,18/01/2025,Delivered,30,60,Central,1800,January,6,0,0,0,1,0,30,,,
ORD-0154,VND-012,Apparel,12/01/2025,18/01/2025,,In Transit,15,45,West,675,January,,,1,0,0,0,0,,,
ORD-0155,VND-007,Furniture,12/01/2025,20/01/2025,,In Transit,2,6500,West,13000,January,,,1,0,0,0,0,,,
ORD-0156,VND-009,Electronics,12/01/2025,19/01/2025,17/01/2025,Delivered,7,1200,South,8400,January,5,-2,0,0,0,1,7,,,
ORD-0157,VND-008,Electronics,12/01/2025,17/01/2025,16/01/2025,Delivered,5,1200,International,6000,January,4,-1,0,0,0,1,5,,,
ORD-0158,VND-012,Electronics,12/01/2025,18/01/2025,19/01/2025,Delivered,7,13500,Central,94500,January,7,1,0,1,0,0,7,,,
ORD-0159,VND-002,Office Supplies,12/01/2025,20/01/2025,,In Transit,95,350,West,33250,January,,,1,0,0,0,0,,,
ORD-0160,VND-001,Office Supplies,12/01/2025,16/01/2025,14/01/2025,Delivered,79,80,West,6320,January,2,-2,0,0,0,1,79,,,
ORD-0161,VND-007,Apparel,12/01/2025,18/01/2025,18/01/2025,Delivered,19,195,Central,3705,January,6,0,0,0,1,0,19,,,
ORD-0162,VND-007,Electronics,12/01/2025,20/01/2025,22/01/2025,Delivered,1,45000,Central,45000,January,10,2,0,1,0,0,1,,,
ORD-0163,VND-014,Furniture,12/01/2025,21/01/2025,23/01/2025,Delivered,1,16500,North,16500,January,11,2,0,1,0,0,1,,,
ORD-0164,VND-008,Apparel,12/01/2025,18/01/2025,19/01/2025,Delivered,38,250,South,9500,January,7,1,0,1,0,0,38,,,
ORD-0165,VND-005,Furniture,13/01/2025,19/01/2025,19/01/2025,Delivered,3,9500,Central,28500,January,6,0,0,0,1,0,3,,,
ORD-0166,VND-003,Apparel,13/01/2025,17/01/2025,19/01/2025,Delivered,53,110,Central,5830,January,6,2,0,1,0,0,53,,,
ORD-0167,VND-012,Office Supplies,13/01/2025,18/01/2025,20/01/2025,Delivered,38,25,East,950,January,7,2,0,1,0,0,38,,,
ORD-0168,VND-008,Apparel,13/01/2025,22/01/2025,23/01/2025,Delivered,19,90,International,1710,January,10,1,0,1,0,0,19,,,
ORD-0169,VND-006,Office Supplies,13/01/2025,20/01/2025,22/01/2025,Delivered,114,25,Central,2850,January,9,2,0,1,0,0,114,,,
ORD-0170,VND-011,Apparel,13/01/2025,21/01/2025,21/01/2025,Delivered,32,45,South,1440,January,8,0,0,0,1,0,32,,,
ORD-0171,VND-003,Electronics,13/01/2025,18/01/2025,18/01/2025,Delivered,6,5000,International,30000,January,5,0,0,0,1,0,6,,,
ORD-0172,VND-001,Furniture,13/01/2025,17/01/2025,15/01/2025,Delivered,3,4500,International,13500,January,2,-2,0,0,0,1,3,,,
ORD-0173,VND-003,Electronics,13/01/2025,20/01/2025,21/01/2025,Delivered,7,3100,West,21700,January,8,1,0,1,0,0,7,,,
ORD-0174,VND-005,Apparel,13/01/2025,18/01/2025,19/01/2025,Delivered,13,180,West,2340,January,6,1,0,1,0,0,13,,,
ORD-0175,VND-015,Apparel,13/01/2025,22/01/2025,20/01/2025,Delivered,34,250,West,8500,January,7,-2,0,0,0,1,34,,,
ORD-0176,VND-014,Apparel,13/01/2025,18/01/2025,16/01/2025,Delivered,50,90,West,4500,January,3,-2,0,0,0,1,50,,,
ORD-0177,VND-003,Office Supplies,13/01/2025,21/01/2025,23/01/2025,Delivered,37,350,East,12950,January,10,2,0,1,0,0,37,,,
ORD-0178,VND-001,Furniture,13/01/2025,18/01/2025,,In Transit,1,3800,Central,3800,January,,,1,0,0,0,0,,,
ORD-0179,VND-005,Furniture,13/01/2025,19/01/2025,22/01/2025,Delivered,3,9500,West,28500,January,9,3,0,1,0,0,3,,,
ORD-0180,VND-010,Apparel,13/01/2025,22/01/2025,23/01/2025,Delivered,12,250,North,3000,January,10,1,0,1,0,0,12,,,
ORD-0181,VND-007,Apparel,13/01/2025,18/01/2025,21/01/2025,Delivered,22,250,West,5500,January,8,3,0,1,0,0,22,,,
ORD-0182,VND-015,Office Supplies,13/01/2025,20/01/2025,18/01/2025,Delivered,89,80,Central,7120,January,5,-2,0,0,0,1,89,,,
ORD-0183,VND-014,Electronics,14/01/2025,20/01/2025,21/01/2025,Delivered,1,3000,West,3000,January,7,1,0,1,0,0,1,,,
ORD-0184,VND-007,Electronics,14/01/2025,22/01/2025,24/01/2025,Delivered,6,2400,East,14400,January,10,2,0,1,0,0,6,,,
ORD-0185,VND-011,Furniture,14/01/2025,18/01/2025,17/01/2025,Delivered,1,8000,South,8000,January,3,-1,0,0,0,1,1,,,
ORD-0186,VND-009,Office Supplies,14/01/2025,21/01/2025,19/01/2025,Delivered,23,500,South,11500,January,5,-2,0,0,0,1,23,,,
ORD-0187,VND-015,Apparel,14/01/2025,22/01/2025,24/01/2025,Delivered,50,195,Central,9750,January,10,2,0,1,0,0,50,,,
ORD-0188,VND-015,Furniture,14/01/2025,22/01/2025,,In Transit,1,6500,South,6500,January,,,1,0,0,0,0,,,
ORD-0189,VND-010,Office Supplies,14/01/2025,20/01/2025,,Cancelled,69,18,South,1242,January,,,1,0,0,0,0,,,
ORD-0190,VND-010,Electronics,14/01/2025,20/01/2025,22/01/2025,Delivered,1,13500,North,13500,January,8,2,0,1,0,0,1,,,
ORD-0191,VND-012,Office Supplies,14/01/2025,23/01/2025,22/01/2025,Delivered,52,30,Central,1560,January,8,-1,0,0,0,1,52,,,
ORD-0192,VND-013,Electronics,14/01/2025,20/01/2025,21/01/2025,Delivered,4,29000,Central,116000,January,7,1,0,1,0,0,4,,,
ORD-0193,VND-003,Office Supplies,14/01/2025,20/01/2025,21/01/2025,Delivered,54,500,South,27000,January,7,1,0,1,0,0,54,,,
ORD-0194,VND-015,Furniture,14/01/2025,20/01/2025,22/01/2025,Delivered,2,18000,South,36000,January,8,2,0,1,0,0,2,,,
ORD-0195,VND-007,Electronics,14/01/2025,21/01/2025,20/01/2025,Delivered,2,5000,South,10000,January,6,-1,0,0,0,1,2,,,
